"Otic","Lens","Olfactory","Adeno","Trygem","Epi"
NA,"Lifr","Hs3st5",NA,NA,NA
NA,"Limk1","Hsd11b2",NA,NA,NA
NA,"Lingo2","Hsd17b11",NA,NA,NA
NA,"Lipe","Hsdl2",NA,NA,NA
NA,"Lmf2","Hspa12a",NA,NA,NA
NA,"Lmna","Hspb8",NA,NA,NA
NA,"Lmo1","Htatip2",NA,NA,NA
NA,"Lmo3","Hvcn1",NA,NA,NA
NA,"Lmod1","Hykk",NA,NA,NA
NA,"Lmtk3","Hyls1",NA,NA,NA
NA,"Lpcat4","Iba57",NA,NA,NA
NA,"Lpin1","Id4",NA,NA,NA
NA,"Lrch4","Iffo2",NA,NA,NA
NA,"Lrfn3","Ifit2",NA,NA,NA
NA,"Lrmda","Ifngr1",NA,NA,NA
NA,"Lrp8os2","Ifngr2",NA,NA,NA
NA,"Lrrc51","Ifnlr1",NA,NA,NA
NA,"Lrrc56","Ift172",NA,NA,NA
NA,"Lrrc57","Igf1",NA,NA,NA
NA,"Lrrc61","Igfbp3",NA,NA,NA
NA,"Lrrc7","Igsf1",NA,NA,NA
NA,"Lrrn3","Igsf10",NA,NA,NA
NA,"Lrsam1","Ikzf4",NA,NA,NA
NA,"Lsamp","Il10rb",NA,NA,NA
NA,"Lss","Il11ra1",NA,NA,NA
NA,"Lurap1","Il17d",NA,NA,NA
NA,"Lyn","Il17re",NA,NA,NA
NA,"Lypd2","Il20rb",NA,NA,NA
NA,"Lypd6","Il3ra",NA,NA,NA
NA,"Lyrm1","Ildr1",NA,NA,NA
NA,"Lysmd1","Ildr2",NA,NA,NA
NA,"Mab21l1","Ilvbl",NA,NA,NA
NA,"Mab21l2","Ina",NA,NA,NA
NA,"Macrod1","Inafm1",NA,NA,NA
NA,"Mafb","Inpp1",NA,NA,NA
NA,"Man1a","Inpp4a",NA,NA,NA
NA,"Man1c1","Inpp5e",NA,NA,NA
NA,"Manba","Inpp5k",NA,NA,NA
NA,"Mansc4","Insig1",NA,NA,NA
NA,"Maob","Iqcg",NA,NA,NA
NA,"Map2","Iqck",NA,NA,NA
NA,"Map3k14","Iqsec2",NA,NA,NA
NA,"Map4k2","Irgq",NA,NA,NA
NA,"Map7d3","Irs4",NA,NA,NA
NA,"Mapk1ip1","Ism1",NA,NA,NA
NA,"Mapkbp1","Isoc2a",NA,NA,NA
NA,"Mapre3","Itga4",NA,NA,NA
NA,"Mars2","Itgb1bp2",NA,NA,NA
NA,"Marveld3","Itpkb",NA,NA,NA
NA,"Masp1","Itpkc",NA,NA,NA
NA,"Mast3","Itpr2",NA,NA,NA
NA,"Matn3","Itpripl1",NA,NA,NA
NA,"Mavs","Jakmip2",NA,NA,NA
NA,"Mb","Jam2",NA,NA,NA
NA,"Mblac2","Jdp2",NA,NA,NA
NA,"Mboat1","Jrk",NA,NA,NA
NA,"Mcoln1","Kat2b",NA,NA,NA
NA,"Mcrip2","Katnal1",NA,NA,NA
NA,"Me1","Kbtbd3",NA,NA,NA
NA,"Meak7","Kbtbd7",NA,NA,NA
NA,"Mecom","Kcnc3",NA,NA,NA
NA,"Metrnl","Kcnd2",NA,NA,NA
NA,"Mettl24","Kcnh2",NA,NA,NA
NA,"Mfap4","Kcnh5",NA,NA,NA
NA,"Mfsd12","Kcnip1",NA,NA,NA
NA,"Mfsd13a","Kcnip3",NA,NA,NA
NA,"Mfsd6","Kcnip4",NA,NA,NA
NA,"Mfsd8","Kcnj2",NA,NA,NA
NA,"Mgat3","Kcnk2",NA,NA,NA
NA,"Mgat4a","Kcnk5",NA,NA,NA
NA,"Mgll","Kcnma1",NA,NA,NA
NA,"Mib2","Kcnn1",NA,NA,NA
NA,"Mical1","Kcnn2",NA,NA,NA
NA,"Micall1","Kcnq3",NA,NA,NA
NA,"Mid1ip1","Kctd11",NA,NA,NA
NA,"Mid2","Kctd12b",NA,NA,NA
NA,"Mindy1","Kctd6",NA,NA,NA
NA,"Mindy2","Kdelr3",NA,NA,NA
NA,"Mindy4","Kdm1b",NA,NA,NA
NA,"Mir100hg","Kdm8",NA,NA,NA
NA,"Mir99ahg","Khk",NA,NA,NA
NA,"Mitf","Kif1a",NA,NA,NA
NA,"Mknk1","Kif21b",NA,NA,NA
NA,"Mllt6","Kif26a",NA,NA,NA
NA,"Mlycd","Kif26b",NA,NA,NA
NA,"Mmaa","Kif27",NA,NA,NA
NA,"Mme","Kif3c",NA,NA,NA
NA,"Mn1","Kif5a",NA,NA,NA
NA,"Mob3a","Kif6",NA,NA,NA
NA,"Mocs1","Kif7",NA,NA,NA
NA,"Mocs3","Kifc3",NA,NA,NA
NA,"Mok","Kitl",NA,NA,NA
NA,"Mon1a","Klc4",NA,NA,NA
NA,"Mospd3","Klf11",NA,NA,NA
NA,"Mov10","Klf15",NA,NA,NA
NA,"Moxd1","Klf2",NA,NA,NA
NA,"Mpc1","Klf4",NA,NA,NA
NA,"Mpp1","Klf8",NA,NA,NA
NA,"Mpp2","Klhdc8b",NA,NA,NA
NA,"Mppe1","Klhl14",NA,NA,NA
NA,"Mpped1","Klhl25",NA,NA,NA
NA,"Mpzl3","Klhl36",NA,NA,NA
NA,"Mras","Kptn",NA,NA,NA
NA,"Mreg","Krt14",NA,NA,NA
NA,"Mrm1","Ksr1",NA,NA,NA
NA,"Msrb2","Ksr2",NA,NA,NA
NA,"Msrb3","Kyat1",NA,NA,NA
NA,"Mss51","Kyat3",NA,NA,NA
NA,"Mterf1a","L1td1",NA,NA,NA
NA,"Mtfp1","L3hypdh",NA,NA,NA
NA,"Mtm1","Lacc1",NA,NA,NA
NA,"Mtmr1","Lamc2",NA,NA,NA
NA,"Mtmr10","Lbh",NA,NA,NA
NA,"Mturn","Lca5l",NA,NA,NA
NA,"Mtx3","Lck",NA,NA,NA
NA,"Mvp","Lcmt2",NA,NA,NA
NA,"Mxd1","Ldlrad4",NA,NA,NA
NA,"Mxra8","Ldoc1",NA,NA,NA
NA,"Myb","Lekr1",NA,NA,NA
NA,"Myc","Letm2",NA,NA,NA
NA,"Mycl","Letmd1",NA,NA,NA
NA,"Myh14","Lfng",NA,NA,NA
NA,"Myl7","Lhpp",NA,NA,NA
NA,"Mylip","Lhx2",NA,NA,NA
NA,"Mylpf","Lhx4",NA,NA,NA
NA,"Myo1d","Lifr",NA,NA,NA
NA,"Myo3a","Limk1",NA,NA,NA
NA,"Myo5b","Lingo2",NA,NA,NA
NA,"Myo6","Lipe",NA,NA,NA
NA,"Myocd","Lipg",NA,NA,NA
NA,"Mypop","Lipo3",NA,NA,NA
NA,"Myzap","Lmf2",NA,NA,NA
NA,"N4bp3","Lmna",NA,NA,NA
NA,"Naa80","Lmo1",NA,NA,NA
NA,"Nab2","Lmo3",NA,NA,NA
NA,"Nacc2","Lmod1",NA,NA,NA
NA,"Naga","Lmtk3",NA,NA,NA
NA,"Nalcn","Lonrf2",NA,NA,NA
NA,"Nanos3","Lpcat4",NA,NA,NA
NA,"Nap1l3","Lpin1",NA,NA,NA
NA,"Napb","Lrch4",NA,NA,NA
NA,"Napepld","Lrfn3",NA,NA,NA
NA,"Nav3","Lrmda",NA,NA,NA
NA,"Ncdn","Lrp11",NA,NA,NA
NA,"Ndrg2","Lrp1b",NA,NA,NA
NA,"Necab2","Lrp8",NA,NA,NA
NA,"Negr1","Lrp8os2",NA,NA,NA
NA,"Nek8","Lrrc19",NA,NA,NA
NA,"Nell2","Lrrc51",NA,NA,NA
NA,"Neurl1a","Lrrc56",NA,NA,NA
NA,"Nexn","Lrrc57",NA,NA,NA
NA,"Nfasc","Lrrc61",NA,NA,NA
NA,"Nfatc4","Lrrc7",NA,NA,NA
NA,"Ngly1","Lrrc8c",NA,NA,NA
NA,"Nipal3","Lrrn1",NA,NA,NA
NA,"Nkain4","Lrrn4",NA,NA,NA
NA,"Nkapl","Lrsam1",NA,NA,NA
NA,"Nkd1","Lsamp",NA,NA,NA
NA,"Nlgn1","Lss",NA,NA,NA
NA,"Nmnat2","Ltbr",NA,NA,NA
NA,"Nnt","Lurap1",NA,NA,NA
NA,"Nol4","Luzp2",NA,NA,NA
NA,"Notch1","Lyn",NA,NA,NA
NA,"Nphp3","Lypd2",NA,NA,NA
NA,"Nphp4","Lypd6",NA,NA,NA
NA,"Npr3","Lyrm1",NA,NA,NA
NA,"Nr1d2","Lyrm7",NA,NA,NA
NA,"Nr3c1","Lysmd1",NA,NA,NA
NA,"Nrarp","Mab21l1",NA,NA,NA
NA,"Nrcam","Macrod1",NA,NA,NA
NA,"Nrg1","Madd",NA,NA,NA
NA,"Nrg3","Maff",NA,NA,NA
NA,"Nrtn","Magee1",NA,NA,NA
NA,"Nrxn1","Mak",NA,NA,NA
NA,"Nsmf","Mal2",NA,NA,NA
NA,"Nsun3","Man1a",NA,NA,NA
NA,"Nsun4","Man1c1",NA,NA,NA
NA,"Ntf3","Manba",NA,NA,NA
NA,"Ntf5","Maob",NA,NA,NA
NA,"Ntm","Map10",NA,NA,NA
NA,"Ntng1","Map2",NA,NA,NA
NA,"Nuak2","Map3k14",NA,NA,NA
NA,"Nudt12","Map4k1",NA,NA,NA
NA,"Nudt13","Map4k2",NA,NA,NA
NA,"Nudt15","Map7d3",NA,NA,NA
NA,"Nudt16","Mapk11",NA,NA,NA
NA,"Nudt18","Mapk1ip1",NA,NA,NA
NA,"Nudt7","Mapkbp1",NA,NA,NA
NA,"Numbl","Mapre3",NA,NA,NA
NA,"Nxpe3","Mapt",NA,NA,NA
NA,"Nxph3","Mars2",NA,NA,NA
NA,"Nxt2","Marveld3",NA,NA,NA
NA,"Nyap1","Masp1",NA,NA,NA
NA,"Ocel1","Mast3",NA,NA,NA
NA,"Ofcc1","Matn2",NA,NA,NA
NA,"Ogfod2","Matn3",NA,NA,NA
NA,"Olfm2","Mavs",NA,NA,NA
NA,"Opn3","Mblac1",NA,NA,NA
NA,"Osbpl2","Mblac2",NA,NA,NA
NA,"Osbpl7","Mboat1",NA,NA,NA
NA,"Osr2","Mcf2",NA,NA,NA
NA,"Ostm1","Mcoln1",NA,NA,NA
NA,"Otud1","Mcrip2",NA,NA,NA
NA,"Otx1","Mctp1",NA,NA,NA
NA,"Otx2","Me1",NA,NA,NA
NA,"Ovol1","Meak7",NA,NA,NA
NA,"P2ry12","Mecom",NA,NA,NA
NA,"P4htm","Mef2b",NA,NA,NA
NA,"Pacrg","Mei4",NA,NA,NA
NA,"Pacsin1","Metrnl",NA,NA,NA
NA,"Pacsin3","Mettl24",NA,NA,NA
NA,"Pafah2","Mfap3l",NA,NA,NA
NA,"Palmd","Mfap4",NA,NA,NA
NA,"Papss2","Mfng",NA,NA,NA
NA,"Paqr8","Mfsd12",NA,NA,NA
NA,"Parp4","Mfsd13a",NA,NA,NA
NA,"Parp9","Mfsd3",NA,NA,NA
NA,"Pars2","Mfsd4a",NA,NA,NA
NA,"Parvb","Mfsd6",NA,NA,NA
NA,"Pax6","Mfsd8",NA,NA,NA
NA,"Pax7","Mgat3",NA,NA,NA
NA,"Paxx","Mgat4a",NA,NA,NA
NA,"Pbxip1","Mgll",NA,NA,NA
NA,"Pcdh17","Mib2",NA,NA,NA
NA,"Pcdh9","Mical1",NA,NA,NA
NA,"Pced1a","Micall1",NA,NA,NA
NA,"Pcsk6","Mid1ip1",NA,NA,NA
NA,"Pcx","Mid2",NA,NA,NA
NA,"Pde10a","Minar2",NA,NA,NA
NA,"Pdk2","Mindy1",NA,NA,NA
NA,"Pdlim4","Mindy2",NA,NA,NA
NA,"Pdp1","Mindy4",NA,NA,NA
NA,"Pdp2","Mip",NA,NA,NA
NA,"Per1","Mir100hg",NA,NA,NA
NA,"Perp","Mir99ahg",NA,NA,NA
NA,"Pex10","Mknk1",NA,NA,NA
NA,"Pex11a","Mkrn3",NA,NA,NA
NA,"Pex11g","Mllt6",NA,NA,NA
NA,"Pex26","Mlycd",NA,NA,NA
NA,"Pfkfb1","Mmaa",NA,NA,NA
NA,"Pfkfb2","Mme",NA,NA,NA
NA,"Pgap3","Mn1",NA,NA,NA
NA,"Pgghg","Mob3a",NA,NA,NA
NA,"Phf21b","Mocs1",NA,NA,NA
NA,"Phlda3","Mocs3",NA,NA,NA
NA,"Phyh","Mok",NA,NA,NA
NA,"Phyhd1","Mon1a",NA,NA,NA
NA,"Pias3","Mon1b",NA,NA,NA
NA,"Pid1","Mospd3",NA,NA,NA
NA,"Pidd1","Mov10",NA,NA,NA
NA,"Pif1","Mpc1",NA,NA,NA
NA,"Pigc","Mpp1",NA,NA,NA
NA,"Pigo","Mpp2",NA,NA,NA
NA,"Pigw","Mpp3",NA,NA,NA
NA,"Pih1d2","Mppe1",NA,NA,NA
NA,"Pik3ip1","Mpped1",NA,NA,NA
NA,"Pim2","Mpzl3",NA,NA,NA
NA,"Pink1","Mras",NA,NA,NA
NA,"Pitx1","Mreg",NA,NA,NA
NA,"Pitx2","Mrm1",NA,NA,NA
NA,"Pkd1","Msh5",NA,NA,NA
NA,"Pkp3","Msrb2",NA,NA,NA
NA,"Pla2g15","Msrb3",NA,NA,NA
NA,"Pla2g4a","Mss51",NA,NA,NA
NA,"Pla2g4c","Mterf1a",NA,NA,NA
NA,"Pla2g6","Mtfp1",NA,NA,NA
NA,"Pla2r1","Mtm1",NA,NA,NA
NA,"Plat","Mtmr1",NA,NA,NA
NA,"Plbd1","Mtmr10",NA,NA,NA
NA,"Plcd1","Mtx3",NA,NA,NA
NA,"Plcd3","Mxd1",NA,NA,NA
NA,"Plch2","Mxra8",NA,NA,NA
NA,"Plcl1","Myadm",NA,NA,NA
NA,"Plcxd2","Myb",NA,NA,NA
NA,"Pld1","Myc",NA,NA,NA
NA,"Pld3","Mycl",NA,NA,NA
NA,"Plekha6","Myh14",NA,NA,NA
NA,"Plekhb2","Myl7",NA,NA,NA
NA,"Plekhn1","Mylip",NA,NA,NA
NA,"Plk2","Mylpf",NA,NA,NA
NA,"Plod1","Myo1d",NA,NA,NA
NA,"Plp1","Myo1h",NA,NA,NA
NA,"Plpp6","Myo5b",NA,NA,NA
NA,"Pltp","Myo6",NA,NA,NA
NA,"Plxna4","Myo7a",NA,NA,NA
NA,"Plxnc1","Mypop",NA,NA,NA
NA,"Pnldc1","Myzap",NA,NA,NA
NA,"Pnoc","N4bp3",NA,NA,NA
NA,"Pnpla7","Naa80",NA,NA,NA
NA,"Podn","Naaa",NA,NA,NA
NA,"Podxl2","Nab2",NA,NA,NA
NA,"Pold4","Nacc2",NA,NA,NA
NA,"Poli","Naga",NA,NA,NA
NA,"Poll","Naglu",NA,NA,NA
NA,"Polm","Nalcn",NA,NA,NA
NA,"Polr3gl","Nanos1",NA,NA,NA
NA,"Polrmt","Nanos3",NA,NA,NA
NA,"Pomc","Nap1l2",NA,NA,NA
NA,"Pomgnt2","Nap1l3",NA,NA,NA
NA,"Pomk","Napb",NA,NA,NA
NA,"Pomt1","Napepld",NA,NA,NA
NA,"Pomt2","Nat2",NA,NA,NA
NA,"Pon2","Nat8l",NA,NA,NA
NA,"Porcn","Nav3",NA,NA,NA
NA,"Ppfia3","Ncam2",NA,NA,NA
NA,"Ppfibp2","Ncdn",NA,NA,NA
NA,"Ppic","Nckipsd",NA,NA,NA
NA,"Ppil6","Ndrg2",NA,NA,NA
NA,"Ppip5k1","Necab2",NA,NA,NA
NA,"Ppl","Nectin4",NA,NA,NA
NA,"Ppm1f","Nefm",NA,NA,NA
NA,"Ppm1k","Negr1",NA,NA,NA
NA,"Ppox","Neurl1a",NA,NA,NA
NA,"Ppp1r13b","Nexmif",NA,NA,NA
NA,"Ppp1r14a","Nexn",NA,NA,NA
NA,"Ppp1r16b","Nfasc",NA,NA,NA
NA,"Ppp1r26","Nfatc4",NA,NA,NA
NA,"Ppp1r3f","Nfe2l3",NA,NA,NA
NA,"Ppp1r9b","Nfia",NA,NA,NA
NA,"Ppp2r2b","Ngly1",NA,NA,NA
NA,"Ppp2r5b","Nipal3",NA,NA,NA
NA,"Ppp4r4","Nkain2",NA,NA,NA
NA,"Pram1","Nkain4",NA,NA,NA
NA,"Prdm11","Nkapl",NA,NA,NA
NA,"Prdm16","Nkd1",NA,NA,NA
NA,"Prelid3a","Nkx6-1",NA,NA,NA
NA,"Prkaa2","Nlgn1",NA,NA,NA
NA,"Prkd2","Nme3",NA,NA,NA
NA,"Prkn","Nmrk1",NA,NA,NA
NA,"Prnp","Nnt",NA,NA,NA
NA,"Prom2","Nol4",NA,NA,NA
NA,"Pros1","Notch1",NA,NA,NA
NA,"Proser2","Notch4",NA,NA,NA
NA,"Prox1","Npas1",NA,NA,NA
NA,"Prr36","Npas2",NA,NA,NA
NA,"Prrg3","Nphp3",NA,NA,NA
NA,"Prrg4","Nphp4",NA,NA,NA
NA,"Prrt4","Npl",NA,NA,NA
NA,"Prrx1","Nr1d2",NA,NA,NA
NA,"Prss22","Nr2e1",NA,NA,NA
NA,"Prss23","Nr3c1",NA,NA,NA
NA,"Prss36","Nr4a1",NA,NA,NA
NA,"Prtn3","Nr4a3",NA,NA,NA
NA,"Prune2","Nrarp",NA,NA,NA
NA,"Ptch2","Nrcam",NA,NA,NA
NA,"Ptchd4","Nrg1",NA,NA,NA
NA,"Ptp4a3","Nrg3",NA,NA,NA
NA,"Ptpdc1","Nrp1",NA,NA,NA
NA,"Ptprt","Nrtn",NA,NA,NA
NA,"Pus7l","Nrxn1",NA,NA,NA
NA,"Pvr","Nsmf",NA,NA,NA
NA,"Pwwp2b","Nsun3",NA,NA,NA
NA,"Pxmp4","Nsun4",NA,NA,NA
NA,"Pxylp1","Nt5dc3",NA,NA,NA
NA,"Pygo1","Nt5e",NA,NA,NA
NA,"Qpctl","Ntf3",NA,NA,NA
NA,"Qprt","Ntm",NA,NA,NA
NA,"Qsox1","Ntn1",NA,NA,NA
NA,"Rab27b","Ntng1",NA,NA,NA
NA,"Rab30","Nuak2",NA,NA,NA
NA,"Rab33b","Nudt12",NA,NA,NA
NA,"Rab38","Nudt13",NA,NA,NA
NA,"Rab39b","Nudt15",NA,NA,NA
NA,"Rab3b","Nudt16",NA,NA,NA
NA,"Rab43","Nudt18",NA,NA,NA
NA,"Rad9b","Nudt6",NA,NA,NA
NA,"Raet1e","Nudt7",NA,NA,NA
NA,"Rai2","Numbl",NA,NA,NA
NA,"Ralyl","Nxpe3",NA,NA,NA
NA,"Ramp3","Nxph1",NA,NA,NA
NA,"Rapgef4","Nxt2",NA,NA,NA
NA,"Rasgef1b","Nyap1",NA,NA,NA
NA,"Rasl10b","Ofcc1",NA,NA,NA
NA,"Rasl11b","Ogfod2",NA,NA,NA
NA,"Rbak","Ogn",NA,NA,NA
NA,"Rbfox1","Olfm2",NA,NA,NA
NA,"Rbks","Onecut2",NA,NA,NA
NA,"Rbm12b1","Opn3",NA,NA,NA
NA,"Rbm12b2","Osbpl2",NA,NA,NA
NA,"Rbm20","Osbpl7",NA,NA,NA
NA,"Rbm43","Ostm1",NA,NA,NA
NA,"Rcan2","Otud1",NA,NA,NA
NA,"Rcan3","Otud7a",NA,NA,NA
NA,"Rdh11","Otx1",NA,NA,NA
NA,"Recql4","Otx2",NA,NA,NA
NA,"Rel","Ovol1",NA,NA,NA
NA,"Rem2","Oxsm",NA,NA,NA
NA,"Renbp","P3h3",NA,NA,NA
NA,"Rerg","P4htm",NA,NA,NA
NA,"Rflna","Pacrg",NA,NA,NA
NA,"Rfng","Pacsin3",NA,NA,NA
NA,"Rfx2","Pafah2",NA,NA,NA
NA,"Rfx5","Pappa",NA,NA,NA
NA,"Rgl2","Papss2",NA,NA,NA
NA,"Rgl3","Paqr8",NA,NA,NA
NA,"Rgp1","Paqr9",NA,NA,NA
NA,"Rgs2","Parp16",NA,NA,NA
NA,"Rgs6","Parp4",NA,NA,NA
NA,"Rgs9","Pars2",NA,NA,NA
NA,"Rhbdf1","Parvb",NA,NA,NA
NA,"Rhbdf2","Pate2",NA,NA,NA
NA,"Rhbdl3","Pax2",NA,NA,NA
NA,"Ribc1","Pax6",NA,NA,NA
NA,"Rin3","Pax7",NA,NA,NA
NA,"Ripor1","Paxx",NA,NA,NA
NA,"Rmc1","Pbxip1",NA,NA,NA
NA,"Rmdn2","Pcdh10",NA,NA,NA
NA,"Rnase4","Pcdh11x",NA,NA,NA
NA,"Rnd2","Pcdh15",NA,NA,NA
NA,"Rnf150","Pcdh17",NA,NA,NA
NA,"Rnf152","Pcdh9",NA,NA,NA
NA,"Rnf157","Pced1a",NA,NA,NA
NA,"Rnf17","Pck2",NA,NA,NA
NA,"Rnf182","Pcolce2",NA,NA,NA
NA,"Rnf208","Pcp4",NA,NA,NA
NA,"Rnf213","Pcsk1n",NA,NA,NA
NA,"Rnf215","Pcsk4",NA,NA,NA
NA,"Rnf31","Pcsk6",NA,NA,NA
NA,"Rnft2","Pcx",NA,NA,NA
NA,"Ropn1l","Pcyt1b",NA,NA,NA
NA,"Rph3al","Pde10a",NA,NA,NA
NA,"Rpp25","Pde7b",NA,NA,NA
NA,"Rps6kb2","Pde9a",NA,NA,NA
NA,"Rpusd1","Pdlim3",NA,NA,NA
NA,"Rsph3a","Pdp1",NA,NA,NA
NA,"Rsph3b","Pdp2",NA,NA,NA
NA,"Rspo2","Peg10",NA,NA,NA
NA,"Rtkn","Peg12",NA,NA,NA
NA,"Rtl6","Pemt",NA,NA,NA
NA,"Rtn4rl1","Per1",NA,NA,NA
NA,"Rundc1","Per2",NA,NA,NA
NA,"Runx1t1","Perp",NA,NA,NA
NA,"Runx2","Pex10",NA,NA,NA
NA,"Rwdd3","Pex11a",NA,NA,NA
NA,"Ryr1","Pex11g",NA,NA,NA
NA,"Ryr2","Pex26",NA,NA,NA
NA,"S100a1","Pex5l",NA,NA,NA
NA,"S1pr2","Pfkfb1",NA,NA,NA
NA,"Samd14","Pfkfb2",NA,NA,NA
NA,"Samd4","Pfkfb4",NA,NA,NA
NA,"Samd5","Pgbd5",NA,NA,NA
NA,"Sapcd1","Phex",NA,NA,NA
NA,"Sat2","Phf21b",NA,NA,NA
NA,"Sbsn","Phlda3",NA,NA,NA
NA,"Scara3","Phyh",NA,NA,NA
NA,"Scarb2","Pias3",NA,NA,NA
NA,"Scn3a","Pid1",NA,NA,NA
NA,"Scn5a","Pidd1",NA,NA,NA
NA,"Scrn1","Pif1",NA,NA,NA
NA,"Scube3","Pigc",NA,NA,NA
NA,"Sdk2","Pigo",NA,NA,NA
NA,"Sdsl","Pigw",NA,NA,NA
NA,"Sec22c","Pih1d2",NA,NA,NA
NA,"Sec24d","Pik3cd",NA,NA,NA
NA,"Sema3e","Pik3ip1",NA,NA,NA
NA,"Serhl","Pim2",NA,NA,NA
NA,"Serinc5","Pink1",NA,NA,NA
NA,"Serp2","Pitx1",NA,NA,NA
NA,"Serpinb6b","Pitx2",NA,NA,NA
NA,"Serpinf1","Pkd1",NA,NA,NA
NA,"Serping1","Pkp3",NA,NA,NA
NA,"Sertad4","Pla2g15",NA,NA,NA
NA,"Sesn2","Pla2g4a",NA,NA,NA
NA,"Setmar","Pla2g6",NA,NA,NA
NA,"Sfmbt2","Pla2r1",NA,NA,NA
NA,"Sfxn4","Plagl1",NA,NA,NA
NA,"Sgcb","Plat",NA,NA,NA
NA,"Sgk3","Plcd1",NA,NA,NA
NA,"Sgms2","Plch2",NA,NA,NA
NA,"Sgpp1","Plcl1",NA,NA,NA
NA,"Sgtb","Plcxd2",NA,NA,NA
NA,"Sh2b2","Plcxd3",NA,NA,NA
NA,"Sh3bp2","Pld3",NA,NA,NA
NA,"Sh3tc2","Pld5",NA,NA,NA
NA,"Shank1","Plek2",NA,NA,NA
NA,"Shtn1","Plekhb2",NA,NA,NA
NA,"Siae","Plekhf1",NA,NA,NA
NA,"Siah2","Plekhn1",NA,NA,NA
NA,"Sipa1","Plk2",NA,NA,NA
NA,"Sipa1l2","Plod1",NA,NA,NA
NA,"Sirt3","Plp1",NA,NA,NA
NA,"Sirt4","Plpp6",NA,NA,NA
NA,"Six2","Plppr2",NA,NA,NA
NA,"Six3","Pltp",NA,NA,NA
NA,"Six5","Plxna4",NA,NA,NA
NA,"Six6","Plxnc1",NA,NA,NA
NA,"Slc10a3","Pmaip1",NA,NA,NA
NA,"Slc12a4","Pmepa1",NA,NA,NA
NA,"Slc12a9","Pnldc1",NA,NA,NA
NA,"Slc15a3","Pnpla7",NA,NA,NA
NA,"Slc16a10","Podn",NA,NA,NA
NA,"Slc16a13","Podxl2",NA,NA,NA
NA,"Slc16a2","Pof1b",NA,NA,NA
NA,"Slc16a6","Pold4",NA,NA,NA
NA,"Slc16a7","Poli",NA,NA,NA
NA,"Slc19a2","Poll",NA,NA,NA
NA,"Slc1a3","Polm",NA,NA,NA
NA,"Slc1a4","Polr3gl",NA,NA,NA
NA,"Slc1a6","Polrmt",NA,NA,NA
NA,"Slc22a15","Pomc",NA,NA,NA
NA,"Slc25a12","Pomgnt2",NA,NA,NA
NA,"Slc25a19","Pomk",NA,NA,NA
NA,"Slc25a20","Pomt1",NA,NA,NA
NA,"Slc25a21","Pomt2",NA,NA,NA
NA,"Slc25a22","Pon2",NA,NA,NA
NA,"Slc25a47","Porcn",NA,NA,NA
NA,"Slc26a10","Pou3f3",NA,NA,NA
NA,"Slc26a11","Pou4f1",NA,NA,NA
NA,"Slc27a1","Ppfia3",NA,NA,NA
NA,"Slc27a4","Ppfibp2",NA,NA,NA
NA,"Slc29a2","Ppic",NA,NA,NA
NA,"Slc29a3","Ppip5k1",NA,NA,NA
NA,"Slc2a12","Ppl",NA,NA,NA
NA,"Slc2a13","Ppm1e",NA,NA,NA
NA,"Slc2a4","Ppm1f",NA,NA,NA
NA,"Slc2a8","Ppm1k",NA,NA,NA
NA,"Slc30a4","Ppox",NA,NA,NA
NA,"Slc31a2","Ppp1r13b",NA,NA,NA
NA,"Slc35a5","Ppp1r13l",NA,NA,NA
NA,"Slc35d2","Ppp1r14a",NA,NA,NA
NA,"Slc35e3","Ppp1r14c",NA,NA,NA
NA,"Slc37a4","Ppp1r26",NA,NA,NA
NA,"Slc38a3","Ppp1r3e",NA,NA,NA
NA,"Slc38a7","Ppp1r3f",NA,NA,NA
NA,"Slc39a13","Ppp1r9b",NA,NA,NA
NA,"Slc39a2","Ppp2r2b",NA,NA,NA
NA,"Slc40a1","Ppp2r5b",NA,NA,NA
NA,"Slc43a1","Ppp4r4",NA,NA,NA
NA,"Slc44a5","Pram1",NA,NA,NA
NA,"Slc45a3","Prdm1",NA,NA,NA
NA,"Slc48a1","Prdm11",NA,NA,NA
NA,"Slc4a3","Prdm16",NA,NA,NA
NA,"Slc4a8","Prelid3a",NA,NA,NA
NA,"Slc5a3","Prkaa2",NA,NA,NA
NA,"Slc5a6","Prkcb",NA,NA,NA
NA,"Slc6a15","Prkd2",NA,NA,NA
NA,"Slc6a8","Prkn",NA,NA,NA
NA,"Slc7a1","Prnp",NA,NA,NA
NA,"Slc7a11","Prom2",NA,NA,NA
NA,"Slc7a2","Proser2",NA,NA,NA
NA,"Slc7a8","Prox1",NA,NA,NA
NA,"Slc8a3","Prr15",NA,NA,NA
NA,"Slc8b1","Prr36",NA,NA,NA
NA,"Slc9a9","Prrg3",NA,NA,NA
NA,"Slco3a1","Prrg4",NA,NA,NA
NA,"Slx1b","Prrx1",NA,NA,NA
NA,"Slx4","Prss22",NA,NA,NA
NA,"Smagp","Prss23",NA,NA,NA
NA,"Smarcd3","Prss36",NA,NA,NA
NA,"Smcr8","Prss41",NA,NA,NA
NA,"Smox","Prune2",NA,NA,NA
NA,"Smpd1","Prx",NA,NA,NA
NA,"Smtn","Ptch2",NA,NA,NA
NA,"Smug1","Ptchd1",NA,NA,NA
NA,"Snai2","Ptchd4",NA,NA,NA
NA,"Sncaip","Ptp4a3",NA,NA,NA
NA,"Snx21","Ptpdc1",NA,NA,NA
