TF,olfactory,forebrain,rest,trigeminal,epibranchial,otic,adenohypophyseal,otic_vesicle,epibranchial_neurulation,trigeminal__neurulation,otic__neurulation,lens
Cux2,1,1,1,0,0,0,0,1,0,0,0,1
Onecut1,0,0,0,0,0,0,0,0,1,1,1,0
Ebf1,1,1,1,0,1,0,1,0,1,1,1,1
Grhl2,1,1,1,1,1,1,1,1,1,1,0,1
Isl1,1,1,1,1,1,0,1,0,1,1,1,1
Mef2d,1,1,1,1,0,0,1,1,1,1,1,1
Mef2c,0,0,1,0,0,0,0,0,0,0,0,0
Nr1d2,1,1,0,0,0,0,0,0,0,0,0,1
Nr4a1,0,0,0,0,0,0,0,1,0,0,0,0
Pgr,0,0,0,0,0,0,0,1,0,0,0,0
Thra,1,1,1,1,1,0,1,1,1,1,1,1
Trp63,1,0,1,1,1,0,1,0,1,1,0,1
Rel,1,1,0,0,0,0,0,0,0,0,0,0
Nfatc4,1,1,1,0,0,0,0,1,1,0,0,1
Nfib,1,1,1,1,0,0,0,1,1,1,0,1
Nfia,1,1,0,0,0,0,0,1,1,1,1,0
Nfic,0,0,0,0,0,0,0,0,0,1,0,0
Stat5b,1,1,1,0,0,0,0,1,1,0,0,0
Creb3,1,1,1,0,0,0,0,1,1,1,0,1
Nfe2l3,1,1,0,0,0,0,0,1,0,0,0,0
E4f1,1,1,1,0,1,1,1,1,1,1,1,1
Zfp182,1,1,1,1,1,0,1,1,1,1,1,1
Zfp467,1,1,1,1,1,0,1,1,1,0,0,1
Ebf2,0,0,1,0,0,0,0,0,1,1,1,0
Ebf4,1,1,0,0,0,0,0,1,0,0,0,1
Zfp384,1,1,1,0,0,0,0,1,1,1,1,1
Cebpd,0,0,0,0,0,0,0,0,0,1,0,0
Hesx1,1,1,0,0,0,0,0,0,0,0,0,0
Hmga1b,1,1,1,0,0,0,0,1,0,1,0,1
Onecut2,0,0,1,1,1,0,0,0,1,1,1,0
Pax3,1,1,1,1,1,1,1,0,1,1,0,1
Pax8,0,0,1,0,1,1,0,1,1,0,1,0
Ppard,1,1,1,0,0,0,0,1,1,1,0,1
Tead3,1,1,1,1,1,0,0,1,1,1,0,1
Thrb,1,1,0,0,0,0,0,1,0,0,1,1
Zbtb18,1,1,1,1,1,1,0,1,1,1,1,1
Zbtb6,1,1,1,0,0,0,0,1,1,1,1,1
Hivep2,1,1,1,1,1,0,1,1,1,1,0,1
Zfp809,1,1,1,0,0,0,0,1,1,0,0,1
Frem1,1,1,1,1,1,0,1,0,0,0,0,1
Hmx3,0,0,0,0,0,1,0,1,0,0,0,0
Atf5,1,1,1,0,1,0,0,1,1,1,1,1
Bcl11a,1,1,0,0,0,0,0,0,0,0,0,0
Dlx6,1,1,0,1,0,1,1,1,0,0,0,1
Ebf3,0,0,1,0,0,0,0,1,1,1,1,0
Emx1,0,0,0,0,1,0,0,0,1,0,0,0
Erf,1,1,1,1,1,0,1,1,1,1,0,1
Glis1,0,0,0,0,0,0,0,0,0,1,0,0
Hey1,1,1,1,0,1,1,0,1,1,1,0,1
Hoxb2,0,0,1,0,0,1,0,1,1,0,1,0
Id4,1,1,1,0,1,1,0,1,1,0,0,1
Nkx6-2,0,0,0,0,0,0,0,0,0,0,1,0
Pml,1,1,1,0,0,0,0,1,0,0,0,1
Pou4f1,0,0,0,1,0,0,0,0,1,1,1,0
Pou6f2,0,0,0,0,0,0,0,0,0,0,1,0
Prox1,0,0,0,0,0,1,0,1,1,1,1,0
Prrxl1,0,0,0,0,0,0,0,0,0,1,0,0
Six5,1,1,0,0,0,0,0,0,0,0,0,1
Sp8,1,1,0,1,1,1,1,1,0,0,0,0
Tlx1,0,0,0,0,0,0,1,0,0,1,0,0
Zfp110,1,1,1,1,1,0,1,1,1,1,1,1
Smad6,1,1,1,1,1,1,1,1,1,1,0,1
Rfxank,1,1,0,0,0,0,0,1,1,0,0,1
